timestamp_sec,scenario,t_pa,t_quiet,t_charge,t_emmc,t_battery,soc,screen_state,cpu0_freq,cpu4_freq,gpu_freq,cpu2_on,cpu3_on,cpu6_on,chg_limit,restrict_chg,restrict_cur
1784193437,gaming,36510,35416,37187,37656,34900,88,1,691200,1766400,1260000000,1,1,1,0,1,1500000
1784193439,gaming,36458,35416,37187,37760,34900,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193442,gaming,36458,35364,37239,38125,35100,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193444,gaming,36510,35364,37500,38697,34900,88,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784193446,gaming,36614,35364,37552,38593,34800,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193448,gaming,36666,35364,37708,38750,35000,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193450,gaming,36718,35416,37708,38697,34900,88,1,1900800,2400000,320000000,1,1,1,0,1,1500000
1784193452,gaming,36718,35416,37656,38750,34800,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193454,gaming,36770,35468,37812,39114,34900,88,1,691200,2400000,1260000000,1,1,1,0,1,1500000
1784193456,gaming,36822,35520,37968,39218,35000,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193458,gaming,36875,35520,38020,39375,35000,88,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784193460,gaming,36875,35520,37968,39479,35000,88,1,691200,1766400,1260000000,1,1,1,0,1,1500000
1784193462,gaming,36927,35572,37916,39531,35000,88,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784193464,gaming,36927,35572,37916,39583,35000,88,1,691200,2400000,1260000000,1,1,1,0,1,1500000
1784193467,gaming,36927,35572,37916,39635,35000,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193469,gaming,36927,35625,37916,39687,35100,88,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784193471,gaming,36927,35625,37968,39843,35000,88,1,691200,1344000,1260000000,1,1,1,0,1,1500000
1784193473,gaming,36979,35625,38020,39843,35000,88,1,691200,806400,1260000000,1,1,1,0,1,1500000
1784193475,gaming,36979,35625,38020,39895,35100,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193477,gaming,37031,35625,38020,39947,35000,88,1,1900800,1344000,1260000000,1,1,1,0,1,1500000
1784193479,gaming,37031,35625,38072,40000,35100,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193481,gaming,37083,35677,38125,40058,35100,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193483,gaming,37083,35677,38177,40116,35000,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193485,gaming,37135,35677,38177,40174,35100,88,1,691200,806400,1260000000,1,1,1,0,1,1500000
1784193487,gaming,37135,35729,38177,40174,35100,88,1,1516800,2400000,1260000000,1,1,1,0,1,1500000
1784193490,gaming,37135,35729,38229,40174,35100,88,1,691200,2208000,1260000000,1,1,1,0,1,1500000
1784193492,gaming,37187,35729,38229,40174,35100,88,1,691200,1766400,1260000000,1,1,1,0,1,1500000
1784193494,gaming,37187,35781,38229,40174,35100,88,1,691200,1056000,1260000000,1,1,1,0,1,1500000
1784193496,gaming,37187,35781,38229,40232,35100,88,1,691200,1766400,1260000000,1,1,1,0,1,1500000
1784193498,gaming,37187,35781,38229,40232,35200,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193500,gaming,37239,35833,38281,40290,35100,88,1,940800,2400000,1260000000,1,1,1,0,1,1500000
1784193502,gaming,37239,35833,38281,40232,35100,88,1,1900800,806400,1260000000,1,1,1,0,1,1500000
1784193504,gaming,37239,35885,38281,40232,35100,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193506,gaming,37239,35885,38281,40290,35200,88,1,940800,2208000,1260000000,1,1,1,0,1,1500000
1784193508,gaming,37291,35885,38333,40406,35200,88,1,691200,2208000,1260000000,1,1,1,0,1,1500000
1784193511,gaming,37291,35937,38385,40465,35200,88,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784193513,gaming,37343,35937,38437,40465,35200,88,1,691200,1344000,1260000000,1,1,1,0,1,1500000
1784193515,gaming,37343,35989,38437,40523,35200,88,1,1804800,2400000,1260000000,1,1,1,0,1,1500000
1784193517,gaming,37395,36041,38489,40639,35200,88,1,1900800,1056000,1260000000,1,1,1,0,1,1500000
1784193519,gaming,37395,36041,38489,40523,35300,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193521,gaming,37447,36041,38645,40813,35300,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193523,gaming,37552,36041,38854,41046,35200,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193525,gaming,37604,36093,38906,40988,35300,88,1,1516800,2208000,1260000000,1,1,1,0,1,1500000
1784193527,gaming,37656,36093,38854,40872,35200,88,1,300000,806400,1260000000,1,1,1,0,1,1500000
1784193529,gaming,37656,36145,38854,40813,35300,88,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784193531,gaming,37656,36145,38802,40813,35300,88,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784193534,gaming,37656,36197,38802,40813,35300,88,1,1900800,806400,1260000000,1,1,1,0,1,1500000
