timestamp_sec,scenario,t_pa,t_quiet,t_charge,t_emmc,t_battery,soc,screen_state,cpu0_freq,cpu4_freq,gpu_freq,cpu2_on,cpu3_on,cpu6_on,chg_limit,restrict_chg,restrict_cur
1784182201,normal_usage,37708,36979,38072,38437,36600,32,1,1190400,2400000,1260000000,1,1,1,0,1,1500000
1784182203,normal_usage,37708,36979,38072,38437,36500,32,1,691200,1766400,1260000000,1,1,1,0,1,1500000
1784182205,normal_usage,37656,36927,38020,38385,36500,32,1,691200,300000,1260000000,1,1,1,0,1,1500000
1784182207,normal_usage,37656,36927,38020,38489,36700,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182209,normal_usage,37656,36927,38177,39062,36500,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182211,normal_usage,37708,36927,38229,39114,36500,32,1,1900800,1766400,785000000,1,1,1,0,1,1500000
1784182213,normal_usage,37708,36927,38281,39114,36500,32,1,1804800,300000,320000000,1,1,1,0,1,1500000
1784182215,normal_usage,37760,36927,38385,39270,36600,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182217,normal_usage,37812,36927,38437,39375,36500,32,1,1516800,1766400,1260000000,1,1,1,0,1,1500000
1784182220,normal_usage,37812,36979,38489,39427,36700,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182222,normal_usage,37916,36979,38697,39895,36600,32,1,1190400,1766400,465000000,1,1,1,0,1,1500000
1784182224,normal_usage,38020,36979,38906,40058,36700,32,1,1516800,2208000,1260000000,1,1,1,0,1,1500000
1784182226,normal_usage,38072,37031,38958,39895,36600,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182228,normal_usage,38125,37083,38906,39791,36600,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182230,normal_usage,38125,37083,38906,39739,36600,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182232,normal_usage,38125,37135,38906,39739,36600,32,1,1516800,1766400,1260000000,1,1,1,0,1,1500000
1784182234,normal_usage,38177,37135,38854,39739,36800,32,1,691200,2400000,1260000000,1,1,1,0,1,1500000
1784182236,normal_usage,38177,37135,38906,39739,36700,32,1,940800,2400000,1260000000,1,1,1,0,1,1500000
1784182238,normal_usage,38177,37187,38854,39687,36700,32,1,1190400,2400000,1260000000,1,1,1,0,1,1500000
1784182240,normal_usage,38177,37187,38854,39635,36800,32,1,691200,2208000,1260000000,1,1,1,0,1,1500000
1784182242,normal_usage,38177,37187,38906,39947,36800,32,1,1900800,2208000,1260000000,1,1,1,0,1,1500000
1784182244,normal_usage,38229,37187,39010,40290,36800,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182246,normal_usage,38229,37239,39062,40348,36800,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182248,normal_usage,38281,37239,39062,40174,36700,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182251,normal_usage,38281,37239,39010,40058,36800,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182253,normal_usage,38281,37239,38958,40000,36700,32,1,1516800,2400000,1260000000,1,1,1,0,1,1500000
1784182255,normal_usage,38281,37291,38906,39947,36700,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182257,normal_usage,38281,37291,38906,39791,36800,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182259,normal_usage,38281,37291,38958,39947,36800,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182261,normal_usage,38281,37291,39010,40116,36800,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182263,normal_usage,38281,37291,39062,40174,36800,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182265,normal_usage,38333,37291,39114,40232,36700,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182267,normal_usage,38333,37291,39114,40174,36800,32,1,1900800,2208000,1260000000,1,1,1,0,1,1500000
1784182269,normal_usage,38333,37343,39114,40174,36800,32,1,1804800,2400000,1260000000,1,1,1,0,1,1500000
1784182271,normal_usage,38385,37343,39166,40406,36800,32,1,1190400,2400000,1260000000,1,1,1,0,1,1500000
1784182273,normal_usage,38385,37343,39166,40290,36800,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182275,normal_usage,38385,37343,39062,40116,36800,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182278,normal_usage,38385,37343,39010,39947,36800,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182280,normal_usage,38333,37343,38958,39843,36800,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182282,normal_usage,38333,37343,38906,39739,36800,32,1,691200,1766400,1260000000,1,1,1,0,1,1500000
1784182284,normal_usage,38281,37343,38854,39687,36800,32,1,940800,1766400,1260000000,1,1,1,0,1,1500000
1784182286,normal_usage,38281,37343,38802,39635,36700,32,1,1804800,1766400,1260000000,1,1,1,0,1,1500000
1784182288,normal_usage,38229,37343,38854,39687,36900,32,1,1900800,2400000,1260000000,1,1,1,0,1,1000000
1784182290,normal_usage,38229,37343,38906,39895,36800,32,1,1516800,2400000,1260000000,1,1,1,0,1,1500000
1784182292,normal_usage,38281,37343,38958,40058,36800,32,1,1190400,2400000,1260000000,1,1,1,0,1,1000000
1784182294,normal_usage,38281,37343,38958,40000,36800,32,1,1516800,2400000,1260000000,1,1,1,0,1,1500000
1784182296,normal_usage,38281,37343,38958,39895,36800,32,1,1190400,1766400,1260000000,1,1,1,0,1,1500000
1784182298,normal_usage,38281,37343,38906,39791,36800,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182300,normal_usage,38281,37343,38854,39739,36800,32,1,940800,1766400,1260000000,1,1,1,0,1,1500000
1784182303,normal_usage,38281,37343,38802,39687,36800,32,1,1900800,1766400,1260000000,1,1,1,0,1,1500000
1784182305,normal_usage,38281,37343,38854,39687,36900,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182307,normal_usage,38281,37343,38906,39895,36900,32,1,1900800,2400000,1260000000,1,1,1,0,1,1500000
1784182309,normal_usage,38281,37343,38958,39947,36800,32,1,1516800,2208000,1260000000,1,1,1,0,1,1500000
1784182311,normal_usage,38281,37343,38906,39843,36800,32,1,1900800,2208000,1260000000,1,1,1,0,1,1500000
1784182313,normal_usage,38281,37343,38958,39843,36800,32,1,300000,1766400,1260000000,1,1,1,0,1,1500000
1784182315,normal_usage,38281,37343,38958,39843,36800,32,1,300000,1766400,1260000000,1,1,1,0,1,1500000
1784182317,normal_usage,38281,37343,38958,39843,36800,32,1,300000,1766400,1260000000,1,1,1,0,1,1500000
1784182319,normal_usage,38333,37343,38906,39791,36800,32,1,300000,2400000,1260000000,1,1,1,0,1,1500000
