timestamp_sec,scenario,t_pa,t_quiet,t_charge,t_emmc,t_battery,soc,screen_state,cpu0_freq,cpu4_freq,gpu_freq,cpu2_on,cpu3_on,cpu6_on,chg_limit,restrict_chg,restrict_cur
1784184140,screen_off_idle,38645,37708,39166,39739,37100,27,1,940800,2208000,1260000000,1,1,1,0,1,1000000
1784184142,screen_off_idle,38645,37708,39218,39739,37100,27,1,300000,2400000,1260000000,1,1,1,0,1,1000000
1784184144,screen_off_idle,38645,37708,39218,39947,37000,27,0,1900800,1344000,320000000,1,1,1,0,1,1000000
1784184146,screen_off_idle,38645,37708,39166,39843,37000,27,0,1900800,300000,320000000,1,1,1,6,0,1000000
1784184148,screen_off_idle,38593,37760,39062,39635,36900,27,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184150,screen_off_idle,38593,37708,38958,39375,36900,27,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184152,screen_off_idle,38489,37760,38802,39166,36900,27,0,691200,300000,320000000,1,1,1,6,0,1000000
1784184155,screen_off_idle,38437,37708,38697,39062,36900,27,0,940800,300000,320000000,1,1,1,6,0,1000000
1784184157,screen_off_idle,38385,37708,38593,38906,36900,27,0,1190400,300000,320000000,1,1,1,6,0,1000000
1784184159,screen_off_idle,38333,37708,38489,38802,36900,27,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184161,screen_off_idle,38229,37656,38437,38697,37100,27,0,1900800,2400000,320000000,1,1,1,6,0,1000000
1784184163,screen_off_idle,38229,37656,38541,39114,36900,27,0,300000,2400000,320000000,1,1,1,0,1,1000000
1784184165,screen_off_idle,38177,37604,38489,39114,36800,27,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184168,screen_off_idle,38177,37604,38437,38906,36800,27,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184170,screen_off_idle,38177,37552,38385,38802,36800,27,0,691200,300000,320000000,1,1,1,6,0,1000000
1784184172,screen_off_idle,38125,37552,38333,38645,36800,27,0,1190400,300000,320000000,1,1,1,6,0,1000000
1784184174,screen_off_idle,38072,37552,38281,38541,36800,27,0,691200,300000,320000000,1,1,1,6,0,1000000
1784184176,screen_off_idle,38020,37500,38177,38437,36800,27,0,1516800,300000,320000000,1,1,1,6,0,1000000
1784184179,screen_off_idle,37968,37500,38125,38385,36800,27,0,691200,300000,320000000,1,1,1,6,0,1000000
1784184181,screen_off_idle,37916,37447,38072,38281,36800,27,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184183,screen_off_idle,37916,37447,38020,38229,36800,27,0,1900800,300000,320000000,1,1,1,6,0,1000000
1784184185,screen_off_idle,37864,37395,37968,38177,36700,27,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184187,screen_off_idle,37812,37395,37968,38125,36800,27,0,1900800,300000,320000000,1,1,1,6,0,1000000
1784184190,screen_off_idle,37812,37395,37916,38125,36700,27,0,1190400,300000,320000000,1,1,1,6,0,1000000
1784184192,screen_off_idle,37760,37343,37864,38020,36700,27,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184194,screen_off_idle,37708,37291,37864,38020,36700,26,0,1190400,300000,320000000,1,1,1,6,0,1000000
1784184196,screen_off_idle,37708,37291,37812,38020,36700,26,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184199,screen_off_idle,37656,37291,37812,37968,36700,26,0,300000,2400000,320000000,1,1,1,6,0,1000000
1784184201,screen_off_idle,37656,37239,37760,37968,36700,26,0,940800,300000,320000000,1,1,1,6,0,1000000
1784184203,screen_off_idle,37604,37239,37708,37916,36600,26,0,940800,300000,320000000,1,1,1,6,0,1000000
1784184205,screen_off_idle,37604,37239,37760,37968,36900,26,0,1900800,2400000,320000000,1,1,1,6,0,1000000
1784184207,screen_off_idle,37656,37187,38072,38750,36900,26,0,1900800,2400000,320000000,1,1,1,6,0,1000000
1784184209,screen_off_idle,37812,37187,38489,39270,36800,26,0,1900800,2400000,320000000,1,1,1,6,0,1000000
1784184211,screen_off_idle,37968,37187,38802,39583,36800,26,0,1900800,2400000,320000000,1,1,1,6,0,1000000
1784184213,screen_off_idle,38125,37239,39010,39791,36800,26,0,1900800,1766400,320000000,1,1,1,6,0,1000000
1784184215,screen_off_idle,38281,37291,39166,39843,36600,26,0,1900800,300000,320000000,1,1,1,6,0,1000000
1784184217,screen_off_idle,38333,37343,39114,39635,36600,26,0,1900800,300000,320000000,1,1,1,6,0,1000000
1784184220,screen_off_idle,38333,37395,38958,39427,36600,26,0,1900800,806400,320000000,1,1,1,6,0,1000000
1784184222,screen_off_idle,38333,37447,38802,39270,36600,26,0,1900800,300000,320000000,1,1,1,6,0,1000000
1784184224,screen_off_idle,38281,37447,38697,39062,36600,26,0,1516800,300000,320000000,1,1,1,6,0,1000000
1784184226,screen_off_idle,38177,37447,38541,38854,36600,26,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184228,screen_off_idle,38125,37447,38385,38645,36600,26,0,1516800,300000,320000000,1,1,1,6,0,1000000
1784184230,screen_off_idle,38020,37447,38281,38541,36600,26,0,691200,300000,320000000,1,1,1,6,0,1000000
1784184233,screen_off_idle,37968,37395,38177,38385,36600,26,0,691200,300000,320000000,1,1,1,6,0,1000000
1784184235,screen_off_idle,37916,37395,38072,38281,36500,26,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184237,screen_off_idle,37864,37343,38020,38177,36500,26,0,691200,300000,320000000,1,1,1,6,0,1000000
1784184239,screen_off_idle,37812,37291,37916,38125,36700,26,0,1900800,2400000,320000000,1,1,1,6,0,1000000
1784184241,screen_off_idle,37760,37291,38020,38385,36600,26,0,1900800,300000,320000000,1,1,1,6,0,1000000
1784184243,screen_off_idle,37812,37291,38125,38437,36600,26,0,1516800,300000,320000000,1,1,1,6,0,1000000
1784184245,screen_off_idle,37812,37239,38125,38333,36500,26,0,1190400,300000,320000000,1,1,1,6,0,1000000
1784184248,screen_off_idle,37812,37239,38020,38229,36500,26,0,300000,300000,320000000,1,1,1,6,0,1000000
1784184250,screen_off_idle,37760,37239,37968,38125,36500,26,0,1900800,300000,320000000,1,1,1,6,0,1000000
1784184252,screen_off_idle,37708,37239,37916,38072,36500,26,0,1516800,300000,320000000,1,1,1,6,0,1000000
1784184254,screen_off_idle,37656,37187,37812,37968,36500,26,0,300000,300000,320000000,1,1,1,6,0,1000000
