timestamp_sec,scenario,t_pa,t_quiet,t_charge,t_emmc,t_battery,soc,screen_state,cpu0_freq,cpu4_freq,gpu_freq,cpu2_on,cpu3_on,cpu6_on,chg_limit,restrict_chg,restrict_cur
1784191018,screen_on_charging,44302,41860,46623,46948,38700,69,1,1900800,2208000,320000000,1,1,1,0,1,1000000
1784191020,screen_on_charging,44186,41860,46298,46623,38800,69,1,1900800,1056000,320000000,1,1,1,0,1,1000000
1784191022,screen_on_charging,44011,41802,45974,46298,39100,69,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191024,screen_on_charging,43837,41744,45779,46493,39000,69,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191026,screen_on_charging,43720,41686,45714,46753,39000,69,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191028,screen_on_charging,43604,41627,45584,46753,38800,69,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191030,screen_on_charging,43546,41569,45454,46623,38800,69,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191032,screen_on_charging,43488,41569,45454,46688,38800,70,1,691200,2803200,1260000000,1,1,1,0,1,1000000
1784191034,screen_on_charging,43430,41453,45389,46233,38700,70,1,300000,2803200,1260000000,1,1,1,0,1,1000000
1784191036,screen_on_charging,43372,41453,45129,45649,38700,70,1,1804800,2803200,320000000,1,1,1,0,1,1000000
1784191039,screen_on_charging,43255,41395,44825,45194,38800,70,1,1900800,2803200,320000000,1,1,1,0,1,1000000
1784191041,screen_on_charging,43139,41337,44651,44883,38700,70,1,1900800,300000,320000000,1,1,1,0,1,1000000
1784191043,screen_on_charging,43023,41279,44418,44534,38700,70,1,1516800,2208000,320000000,1,1,1,0,1,1000000
1784191045,screen_on_charging,42848,41220,44186,44244,38600,70,1,1190400,2803200,320000000,1,1,1,0,1,1000000
1784191047,screen_on_charging,42732,41162,43953,44011,38700,70,1,940800,300000,320000000,1,1,1,0,1,1000000
1784191049,screen_on_charging,42674,41104,43779,43837,38600,70,1,691200,300000,320000000,1,1,1,0,1,1000000
1784191052,screen_on_charging,42616,41104,43662,43662,38700,70,1,1900800,2803200,320000000,1,1,1,0,1,1000000
1784191054,screen_on_charging,42500,41046,43720,43895,38700,70,1,1900800,300000,320000000,1,1,1,0,1,1000000
1784191056,screen_on_charging,42441,40930,44011,44476,38800,70,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191058,screen_on_charging,42441,40930,44302,45129,38800,70,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191060,screen_on_charging,42500,40813,44476,45324,38700,70,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191062,screen_on_charging,42558,40813,44593,45324,38600,70,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191064,screen_on_charging,42616,40813,44593,45584,38800,70,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191066,screen_on_charging,42616,40813,44651,46103,38800,70,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191068,screen_on_charging,42674,40813,44883,46623,38800,70,1,300000,2803200,1260000000,1,1,1,0,1,1000000
1784191070,screen_on_charging,42790,40813,45129,46688,38800,70,1,1900800,2803200,1260000000,1,1,1,0,1,1000000
1784191073,screen_on_charging,42906,40813,45389,46623,38600,70,1,691200,1766400,1260000000,1,1,1,0,1,1000000
1784191075,screen_on_charging,43023,40872,45454,46038,38700,70,1,1900800,1766400,1260000000,1,1,1,0,1,1000000
1784191077,screen_on_charging,43139,40930,45584,45649,38600,70,1,1190400,2208000,1260000000,1,1,1,0,1,1000000
1784191079,screen_on_charging,43197,40930,45584,45519,38600,70,1,300000,1766400,1260000000,1,1,1,0,1,1000000
